source,dest,payment,installments,partners,date,source_name,dest_name
89,3,5394.16,324,9,2018-01-01,Node 89,Node 3
77,24,9631.44,0,50,2018-01-02,Node 77,Node 24
39,49,8286.45,10638,5,2018-01-03,Node 39,Node 49
77,20,2690.71,264,78,2018-01-04,Node 77,Node 20
42,67,2877.63,4015,50,2018-01-05,Node 42,Node 67
99,61,9330.99,1292,98,2018-01-06,Node 99,Node 61
91,72,5172.49,4388,70,2018-01-07,Node 91,Node 72
87,83,3794.61,3126,94,2018-01-08,Node 87,Node 83
82,3,7274.4,253,5,2018-01-09,Node 82,Node 3
80,53,8710.6,907,81,2018-01-10,Node 80,Node 53
89,52,9348.15,2885,98,2018-01-11,Node 89,Node 52
99,49,8373.74,9051,85,2018-01-12,Node 99,Node 49
78,90,7689.8,9500,26,2018-01-13,Node 78,Node 90
41,3,5620.15,3344,34,2018-01-14,Node 41,Node 3
30,66,3707.55,156,67,2018-01-15,Node 30,Node 66
87,48,3485.73,10937,86,2018-01-16,Node 87,Node 48
30,90,2933.07,6690,55,2018-01-17,Node 30,Node 90
71,17,5819.52,181,55,2018-01-18,Node 71,Node 17
93,37,5206.17,2655,65,2018-01-19,Node 93,Node 37
77,64,4524.82,3121,27,2018-01-20,Node 77,Node 64
64,52,3148.75,3575,27,2018-01-22,Node 64,Node 52
89,48,3455.9,4806,41,2018-01-23,Node 89,Node 48
55,25,6017.13,370,90,2018-01-24,Node 55,Node 25
39,69,7587.53,4908,57,2018-01-25,Node 39,Node 69
68,33,8555.5,9206,36,2018-01-26,Node 68,Node 33
48,20,7662.91,5339,49,2018-01-27,Node 48,Node 20
67,90,6360.97,3218,59,2018-01-28,Node 67,Node 90
65,48,2145.18,2149,13,2018-01-29,Node 65,Node 48
86,32,4415.56,4122,80,2018-01-30,Node 86,Node 32
26,74,9206.91,2252,12,2018-01-31,Node 26,Node 74
4,96,6096.01,0,36,2018-02-01,Node 4,Node 96
88,71,2904.0,153,68,2018-02-02,Node 88,Node 71
54,10,533.0,546,61,2018-02-03,Node 54,Node 10
32,22,3829.97,0,99,2018-02-04,Node 32,Node 22
54,5,7962.43,5685,93,2018-02-05,Node 54,Node 5
18,94,7853.31,9843,75,2018-02-06,Node 18,Node 94
51,98,877.91,7185,18,2018-02-07,Node 51,Node 98
14,11,8732.37,11603,32,2018-02-08,Node 14,Node 11
31,96,6504.31,2309,65,2018-02-09,Node 31,Node 96
59,71,1091.42,6035,17,2018-02-10,Node 59,Node 71
70,72,7077.31,10205,38,2018-02-11,Node 70,Node 72
19,74,1506.98,982,89,2018-02-12,Node 19,Node 74
65,13,1964.52,3752,49,2018-02-13,Node 65,Node 13
61,51,1224.89,6978,20,2018-02-14,Node 61,Node 51
94,35,6915.36,3075,73,2018-02-15,Node 94,Node 35
35,90,3431.98,571,68,2018-02-16,Node 35,Node 90
87,29,2112.08,2954,40,2018-02-17,Node 87,Node 29
19,66,8176.5,9731,30,2018-02-18,Node 19,Node 66
24,6,2656.45,2094,58,2018-02-19,Node 24,Node 6
84,19,1336.02,1822,57,2018-02-20,Node 84,Node 19
44,1,1238.69,481,75,2018-02-21,Node 44,Node 1
29,76,1423.42,6520,79,2018-02-22,Node 29,Node 76
31,64,7247.4,1404,49,2018-02-23,Node 31,Node 64
89,53,4917.95,443,59,2018-02-24,Node 89,Node 53
30,18,5332.38,2337,88,2018-02-25,Node 30,Node 18
94,44,3478.3,7366,98,2018-02-26,Node 94,Node 44
83,18,2091.26,0,80,2018-02-27,Node 83,Node 18
2,7,9734.38,152,60,2018-02-28,Node 2,Node 7
15,49,6814.45,121,26,2018-03-01,Node 15,Node 49
71,2,4857.38,1676,71,2018-03-02,Node 71,Node 2
42,2,1400.09,331,75,2018-03-03,Node 42,Node 2
91,83,268.4,6384,49,2018-03-04,Node 91,Node 83
67,48,3381.68,5168,32,2018-03-05,Node 67,Node 48
84,32,4634.1,8049,70,2018-03-06,Node 84,Node 32
7,56,5419.72,608,75,2018-03-07,Node 7,Node 56
60,98,6042.89,2034,7,2018-03-08,Node 60,Node 98
30,34,8082.19,1624,40,2018-03-09,Node 30,Node 34
87,76,5222.04,9030,22,2018-03-10,Node 87,Node 76
88,37,3236.94,3614,58,2018-03-11,Node 88,Node 37
91,78,7488.96,9946,19,2018-03-12,Node 91,Node 78
32,43,3485.65,5978,13,2018-03-13,Node 32,Node 43
1,11,6946.93,1554,58,2018-03-14,Node 1,Node 11
76,92,7428.15,3211,8,2018-03-15,Node 76,Node 92
71,4,6316.8,1297,84,2018-03-16,Node 71,Node 4
13,91,8861.16,2578,84,2018-03-17,Node 13,Node 91
14,62,9776.72,9916,55,2018-03-18,Node 14,Node 62
92,46,4486.26,8901,46,2018-03-19,Node 92,Node 46
